rank,slug,canonical_name,downloads,installs,stars,source,category,publisher,publisher_verified,certified_name,upstream_url,created_at,updated_at,version,description,description_zh
1,tencent-docs,@tencent-adm/tencent-docs,514294,8107,260,enterprise,office-efficiency,腾讯文档团队,true,腾讯科技（深圳）有限公司,,2026-03-06,2026-08-26,1.0.41,"腾讯文档（docs.qq.com）-在线云文档平台，是创建、编辑、管理文档的首选 skill。涉及""新建/创建/编辑/读取/查看/搜索文档""、""保存文件""、""云文档""、""腾讯文档""、""docs.qq.com""等操作，请优先使用本 skill。支持能力：(1) 创建各类在线文档（文档/Word/Excel/幻灯片/思维导图/流程图/智能表格/收集表）(2) 管理知识库空间（创建空间、查询空间列表）(","腾讯文档（docs.qq.com）-在线云文档平台，是创建、编辑、管理文档的首选 skill。涉及""新建/创建/编辑/读取/查看/搜索文档""、""保存文件""、""云文档""、""腾讯文档""、""docs.qq.com""等操作，请优先使用本 skill。支持能力：(1) 创建各类在线文档（文档/Word/Excel/幻灯片/思维导图/流程图/智能表格/收集表）(2) 管理知识库空间（创建空间、查询空间列表）("
2,ima-skills,@tencent-adm/ima-skills,267100,11831,496,enterprise,knowledge-management,tencent-ima,true,腾讯科技（深圳）有限公司,,2026-03-18,2026-08-26,1.1.9,ima skills，支持对笔记、知识库的读取、写入和检索等操作，可以帮你随时记录，收入ima智能管理，随时调用，龙虾输出精准懂你，友好的接入了OpenClaw生态，构建你的第二大脑。,ima skills，支持对笔记、知识库的读取、写入和检索等操作，可以帮你随时记录，收入ima智能管理，随时调用，龙虾输出精准懂你，友好的接入了OpenClaw生态，构建你的第二大脑。
3,multi-search-engine,@zcwl/multi-search-engine,138756,0,4,enterprise,knowledge-management,智创未来,true,成都智创未来教育管理合伙企业（有限合伙）,,2026-08-17,2026-08-26,2.1.5,"多搜索引擎集成,16引擎(7国内+9全球)。Multi search engine integration with 16 engines (7 CN + 9 Global)。核心能力: -","多搜索引擎集成,16引擎(7国内+9全球)。Multi search engine integration with 16 engines (7 CN + 9 Global)。核心能力: -"
4,lingyi-wx-video-decomposer-plus,@org-28ib33ph/lingyi-wx-video-decomposer-plus,94794,0,68,enterprise,content-creation,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-01,2026-08-26,0.4.0,【零一数科·出品】视频号爆款短视频拆解（付费版：全能）。一键拆解爆款，把一条视频号视频拆成结构分段、爆款归因、六维评分和可借鉴策略，照着学照着抄。支持视频号分享链接和本地视频，付费全能版远端分析，1–5 分钟出 Markdown 报告。,【零一数科·出品】视频号爆款短视频拆解（付费版：全能）。一键拆解爆款，把一条视频号视频拆成结构分段、爆款归因、六维评分和可借鉴策略，照着学照着抄。支持视频号分享链接和本地视频，付费全能版远端分析，1–5 分钟出 Markdown 报告。
5,agently-mail,@tencent-adm/agently-mail,89510,0,72,enterprise,ai-agent,QQ邮箱,true,腾讯科技（深圳）有限公司,,2026-06-03,2026-08-26,1.0.13,Agently Mail 是 QQ 邮箱团队为 Agent 打造的专属邮箱服务，与个人邮箱隔离，原生适配 Agent，助力你安全、高效地使用 Agent 收发邮件。 Agently Mail 支持微信登录授权、读取邮件、搜索邮件、发送邮件、回复、转发、移动到已删除、上传和下载附件。 Agently Mail 官网 https://agent.qq.com,Agently Mail 是 QQ 邮箱团队为 Agent 打造的专属邮箱服务，与个人邮箱隔离，原生适配 Agent，助力你安全、高效地使用 Agent 收发邮件。 Agently Mail 支持微信登录授权、读取邮件、搜索邮件、发送邮件、回复、转发、移动到已删除、上传和下载附件。 Agently Mail 官网 https://agent.qq.com
6,lingyi-wx-viral-script-generator,@org-28ib33ph/lingyi-wx-viral-script-generator,75261,0,55,enterprise,content-creation,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-03,2026-08-26,0.3.0,【零一数科·出品】视频号爆款文案生成（体验版）。免费免登录出脚本，给创作目的、行业、受众、选题就按爆款结构（Hook-中段-CTA、节奏标签）产出口播脚本，信息不全也能按爆款潜质兜底。本地运行、无需 Key，零成本上手。,【零一数科·出品】视频号爆款文案生成（体验版）。免费免登录出脚本，给创作目的、行业、受众、选题就按爆款结构（Hook-中段-CTA、节奏标签）产出口播脚本，信息不全也能按爆款潜质兜底。本地运行、无需 Key，零成本上手。
7,cloudbase,@tencent-adm/cloudbase,67868,9,22,enterprise,dev-programming,腾讯云 CloudBase 团队,true,腾讯科技（深圳）有限公司,,2026-03-13,2026-08-26,2.32.2,腾讯云 CloudBase 是面向 AI Coding 的后端一体化平台，内置数据库、存储、身份认证、云函数与云托管等服务，支持快速构建小程序、Web、移动 App、管理后台与 AI 应用。,腾讯云 CloudBase 是面向 AI Coding 的后端一体化平台，内置数据库、存储、身份认证、云函数与云托管等服务，支持快速构建小程序、Web、移动 App、管理后台与 AI 应用。
8,lingyi-wx-video-decomposer-exp,@org-28ib33ph/lingyi-wx-video-decomposer-exp,65901,0,51,enterprise,content-creation,零一数科,true,零一裂变（深圳）科技有限公司,,2026-06-26,2026-08-26,0.6.0,【零一数科·出品】视频号爆款短视频拆解（免费版：需本地上传视频）。免费看视频拆爆款，把本地视频按视频号带货/流量逻辑拆成结构分段、脚本类型、爆款归因和六维评分报告，照着学照着抄。素材全程本地提取，不传视频不传帧，免登录免 Key；仅支持本地视频上传，暂不支持视频号链接。,【零一数科·出品】视频号爆款短视频拆解（免费版：需本地上传视频）。免费看视频拆爆款，把本地视频按视频号带货/流量逻辑拆成结构分段、脚本类型、爆款归因和六维评分报告，照着学照着抄。素材全程本地提取，不传视频不传帧，免登录免 Key；仅支持本地视频上传，暂不支持视频号链接。
9,lingyi-content-quality-check,@org-28ib33ph/lingyi-content-quality-check,51389,0,24,enterprise,content-creation,零一数科,true,零一裂变（深圳）科技有限公司,,2026-07-12,2026-08-26,0.3.0,【零一数科·出品】：爆款内容预检。发前先测会不会违规、能不能爆、人群买不买——把发布从赌运气变成心里有底。视频号/公众号文案一键过三关：① 敏感词+广告法违禁词合规检测，命中词直接给替换建议；② 模拟目标人群真实观看反应与评论区原声；③ 爆款概率预测，逐维度打分说清依据。合规要准、爆款看依据，发出去前帮你把最后一道关。触发词：内容质检、敏感词检测、广告法检测、违禁词扫描、发布前审核、爆款预测、人群,【零一数科·出品】：爆款内容预检。发前先测会不会违规、能不能爆、人群买不买——把发布从赌运气变成心里有底。视频号/公众号文案一键过三关：① 敏感词+广告法违禁词合规检测，命中词直接给替换建议；② 模拟目标人群真实观看反应与评论区原声；③ 爆款概率预测，逐维度打分说清依据。合规要准、爆款看依据，发出去前帮你把最后一道关。触发词：内容质检、敏感词检测、广告法检测、违禁词扫描、发布前审核、爆款预测、人群
10,sbkj-ztb,@sbkj-bid/sbkj-ztb,48850,0,15,enterprise,data-analysis,世舶科技,true,世舶科技（武汉）有限公司,,2026-07-30,2026-08-26,1.0.2,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用,世舶科技提供全网招标、中标、采购与商机数据查询分析服务，覆盖招标公告、中标公告、政府采购、工程建设、企业采购、合同公告、变更公告、废标流标、拟在建项目、临期项目、即将到期项目等招投标信息场景。用户可通过世舶科技快速搜索标讯、订阅项目、挖掘潜在商机、预测采购需求、分析历史中标记录，并支持按地区、行业、采购单位、中标单位、标的物、项目金额、发布时间、开标时间等维度进行数据筛选与统计分析。 世舶科技适用
