rank,skill,skill_key,platform,vendor,source_skillssh,slug_clawhub,url,repo_url,install,match,description,description_zh,x_mentions_7d,x_truncated,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_engagement_7d,buzz_score,buzz_shared
1,self-improving,ch:self-improving,clawhub,,,self-improving,https://clawhub.ai/ivangdavila/skills/self-improving,,openclaw skills install @ivangdavila/self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,100,true,3,10,126,262,7,3928,0.922,false
2,find-skills,ss:vercel-labs/skills/find-skills,skills.sh,vercel-labs,vercel-labs/skills,,https://www.skills.sh/vercel-labs/skills/find-skills,https://github.com/vercel-labs/skills,npx skills add https://github.com/vercel-labs/skills --skill find-skills,single,,,23,false,1,1,1,1,101,379,0.83,true
3,grill-me,ss:mattpocock/skills/grill-me,skills.sh,mattpocock,mattpocock/skills,,https://www.skills.sh/mattpocock/skills/grill-me,https://github.com/mattpocock/skills,npx skills add https://github.com/mattpocock/skills --skill grill-me,single,,,100,true,0,5,9,13,28,4790,0.728,true
4,agent-browser,ss:vercel-labs/agent-browser/agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,https://www.skills.sh/vercel-labs/agent-browser/agent-browser,https://github.com/vercel-labs/agent-browser,npx skills add https://github.com/vercel-labs/agent-browser --skill agent-browser,single,,,100,true,0,1,11,12,26,2299,0.725,true
5,frontend-design,ss:anthropics/skills/frontend-design,skills.sh,anthropics,anthropics/skills,,https://www.skills.sh/anthropics/skills/frontend-design,https://github.com/anthropics/skills,npx skills add https://github.com/anthropics/skills --skill frontend-design,single,,,60,false,0,3,2,6,53,1570,0.698,true
6,browser-use,ss:browser-use/browser-use/browser-use,skills.sh,browser-use,browser-use/browser-use,,https://www.skills.sh/browser-use/browser-use/browser-use,https://github.com/browser-use/browser-use,npx skills add https://github.com/browser-use/browser-use --skill browser-use,single,,,,false,3,7,29,35,8,,0.652,true
7,api-gateway,ch:api-gateway,clawhub,,,api-gateway,https://clawhub.ai/byungkyu/skills/api-gateway,,openclaw skills install @byungkyu/api-gateway,upstream,"Call third-party APIs through the Maton gateway, which injects the credential for an app the user has already connected. Use this skill when the user names a connected app and a concrete action in it ",通过 Maton 管理的 API 路由连接外部服务；仅在用户指定目标应用、账户和任务后使用；以读取/列...,,false,1,4,41,57,2,,0.613,false
8,nano-banana-pro,ch:nano-banana-pro,clawhub,steipete,,nano-banana-pro,https://clawhub.ai/steipete/skills/nano-banana-pro,,openclaw skills install @steipete/nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,32,false,0,1,2,3,4,2402,0.613,false
9,skill-creator,ss:anthropics/skills/skill-creator,skills.sh,anthropics,anthropics/skills,,https://www.skills.sh/anthropics/skills/skill-creator,https://github.com/anthropics/skills,npx skills add https://github.com/anthropics/skills --skill skill-creator,single,,,79,false,0,0,0,1,80,2237,0.591,true
10,self-improving-agent,ch:self-improving-agent,clawhub,,,self-improving-agent,https://clawhub.ai/pskoett/skills/self-improving-agent,,openclaw skills install @pskoett/self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,50,false,0,0,1,1,1,1098,0.59,true
