rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,x_mentions_7d,x_truncated,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_engagement_7d,buzz_score,buzz_shared
1,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,100,true,1,4,19,20,25,1273,0.931,true
2,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,100,true,1,4,7,14,27,10629,0.926,false
3,self-improving,clawhub,,,self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,100,true,5,17,47,73,1,2809,0.892,false
4,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,74,false,0,1,31,34,78,4466,0.722,true
5,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,79,false,0,0,1,1,91,1576,0.706,true
6,browser-automation,clawhub,,,browser-automation,upstream,"Automate web browser interactions using natural language via CLI commands. Use when the user asks to browse websites, navigate web pages, extract data from websites, take screenshots, fill forms, clic",使用自然语言通过 CLI 命令自动化网页浏览器交互。适用于浏览网站、导航网页、提取数据、截屏、填表、点击按钮或与网页应用交互的场景。,,false,1,9,15,21,5,,0.643,false
7,nano-banana-pro,clawhub,steipete,,nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,31,false,1,1,6,15,0,447,0.631,false
8,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,29,false,0,1,3,6,8,425,0.627,false
9,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,single,,,9,false,0,0,2,3,3,2694,0.581,false
10,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,39,false,0,0,0,2,110,2014,0.566,true
11,browser-use,skills.sh,browser-use,browser-use/browser-use,,single,,,,false,0,10,12,19,12,,0.463,true
12,self-improving-agent,clawhub,,,self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,49,false,0,0,4,8,0,3063,0.458,false
13,stock-analysis,clawhub,,,stock-analysis,upstream,"Analyze stocks and cryptocurrencies using Yahoo Finance data. Supports portfolio management, watchlists with alerts, dividend analysis, 8-dimension stock scoring, viral trend detection (Hot Scanner), ",利用Yahoo Finance数据深度分析股票和加密货币。支持投资组合管理、关注列表与提醒、股息分析、八维度股票评分、热门趋势扫描（热点扫描器）及谣言/早期信号检测。适用于股票分析、投资组合追踪、财报反应、加密货币监控、热门股票发现及在主流媒体前抢先获取消息。,,false,0,0,138,150,3,,0.455,false
14,brave-search,clawhub,steipete,,brave-search,upstream,"Web search and content extraction via Brave Search API. Use for searching documentation, facts, or any web content. Lightweight, no browser required.",通过 Brave Search API 进行网页搜索与内容提取。适用于搜索文档、事实或任何网页内容。轻量级，无需浏览器。,,false,0,6,130,162,2,,0.447,false
15,setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,single,,,1,false,0,0,0,1,7,5,0.425,false
16,api-gateway,clawhub,,,api-gateway,upstream,"Connect to external services through Maton-managed API routes. Use this skill only after the user names the target app, account, and task. Start with read/list calls when possible and follow the app-s",通过 Maton 管理的 API 路由连接外部服务；仅在用户指定目标应用、账户和任务后使用；以读取/列...,,false,0,3,27,50,1,,0.425,false
17,openai-whisper,clawhub,steipete,,openai-whisper,upstream,Local speech-to-text with the Whisper CLI (no API key).,使用 Whisper CLI 进行本地语音转文字（无需 API 密钥）,4,false,0,1,2,2,0,71,0.383,false
