rank,skill,platform,vendor,source_skillssh,slug_clawhub,match,description,description_zh,x_mentions_7d,x_truncated,hn_hits_7d,hn_raw_7d,bsky_hits_7d,bsky_raw_7d,gh_mentions_7d,x_engagement_7d,buzz_score,buzz_shared
1,self-improving,clawhub,,,self-improving,upstream,"Self-reflection + Self-criticism + Self-learning + Self-organizing memory. Agent evaluates its own work, catches mistakes, and improves permanently. Use when...",自我反思+自我批评+自我学习+自组织记忆。智能体评估自身工作、发现错误并持续改进。,100,true,2,5,27,38,5,3893,0.922,false
2,frontend-design,skills.sh,anthropics,anthropics/skills,,single,,,68,false,1,3,6,27,54,7112,0.903,true
3,grill-me,skills.sh,mattpocock,mattpocock/skills,,single,,,100,true,0,3,8,25,30,2530,0.739,false
4,agent-browser,skills.sh,vercel-labs,vercel-labs/agent-browser,,single,,,100,true,0,0,7,7,18,1554,0.733,true
5,skill-creator,skills.sh,anthropics,anthropics/skills,,single,,,73,false,0,0,3,5,123,2356,0.716,true
6,find-skills,skills.sh,vercel-labs,vercel-labs/skills,,single,,,26,false,0,0,1,2,144,2500,0.663,true
7,api-gateway,clawhub,,,api-gateway,upstream,"Call third-party APIs through the Maton gateway, which injects the credential for an app the user has already connected. Use this skill when the user names a connected app and a concrete action in it ",通过 Maton 管理的 API 路由连接外部服务；仅在用户指定目标应用、账户和任务后使用；以读取/列...,,false,1,4,32,45,1,,0.621,false
8,self-improving-agent,clawhub,,,self-improving-agent,upstream,"Captures learnings, errors, and corrections to enable continuous improvement. Use when: (1) A command or operation fails unexpectedly, (2) User corrects Claude ('No, that's wrong...', 'Actually...'), ",记录自身发现以实现自我改进的技能,59,false,0,0,3,3,1,1745,0.621,false
9,grill-with-docs,skills.sh,mattpocock,mattpocock/skills,,single,,,24,false,0,0,0,0,7,35,0.505,false
10,vercel-react-best-practices,skills.sh,vercel-labs,vercel-labs/agent-skills,,single,,,2,false,0,0,1,1,1,2,0.5,false
11,improve-codebase-architecture,skills.sh,mattpocock,mattpocock/skills,,single,,,13,false,0,0,0,0,3,20,0.474,false
12,setup-matt-pocock-skills,skills.sh,mattpocock,mattpocock/skills,,single,,,1,false,0,0,1,1,8,0,0.473,false
13,browser-use,skills.sh,browser-use,browser-use/browser-use,,single,,,,false,0,1,24,31,7,,0.467,true
14,proactive-agent,clawhub,,,proactive-agent,upstream,"Transform AI agents from task-followers into proactive partners that anticipate needs and continuously improve. Now with WAL Protocol, Working Buffer, Autonomous Crons, and battle-tested patterns. Par",将 AI 代理从任务执行者转变为能够预见需求、持续优化的主动伙伴。现已支持 WAL Protocol、Working Buffer、Autonomous Crons 及经过实战验证的模式。属于 Hal Stack 🦞。,24,false,0,0,0,1,1,335,0.461,false
15,azure-ai,skills.sh,microsoft,microsoft/azure-skills,,single,,,,false,0,0,40,44,2,,0.452,false
16,nano-banana-pro,clawhub,steipete,,nano-banana-pro,upstream,Generate/edit images with Nano Banana Pro (Gemini 3 Pro Image). Use for image create/modify requests incl. edits. Supports text-to-image + image-to-image; 1K/2K/4K; use --input-image.,使用 Nano Banana Pro (Gemini 3 Pro Image) 生成或编辑图像。支持文生图、图生图及 1K/2K/4K 分辨率，适用于图像创建、修改及编辑请求，使用 --input-image 指定输入图像。,39,false,0,0,5,6,0,490,0.449,false
17,stock-analysis,clawhub,,,stock-analysis,upstream,"Analyze stocks and cryptocurrencies using Yahoo Finance data. Supports portfolio management, watchlists with alerts, dividend analysis, 8-dimension stock scoring, viral trend detection (Hot Scanner), ",利用Yahoo Finance数据深度分析股票和加密货币。支持投资组合管理、关注列表与提醒、股息分析、八维度股票评分、热门趋势扫描（热点扫描器）及谣言/早期信号检测。适用于股票分析、投资组合追踪、财报反应、加密货币监控、热门股票发现及在主流媒体前抢先获取消息。,,false,0,1,312,325,1,,0.433,false
18,azure-storage,skills.sh,microsoft,microsoft/azure-skills,,single,,,,false,0,0,5,5,2,,0.43,false
19,brave-search,clawhub,steipete,,brave-search,upstream,"Web search and content extraction via Brave Search API. Use for searching documentation, facts, or any web content. Lightweight, no browser required.",通过 Brave Search API 进行网页搜索与内容提取。适用于搜索文档、事实或任何网页内容。轻量级，无需浏览器。,,false,0,3,21,51,1,,0.422,false
20,auto-updater,clawhub,,,auto-updater,upstream,"Automatically update Clawdbot and all installed skills once daily. Runs via cron, checks for updates, applies them, and messages the user with a summary of what changed.",每日自动更新 Clawdbot 及所有已安装技能。运行 cron 检查更新并应用，同时向用户发送变更摘要。,3,false,0,0,0,10,1,6,0.421,false
21,news-summary,clawhub,,,news-summary,upstream,"This skill should be used when the user asks for news updates, daily briefings, or what's happening in the world. Fetches news from trusted international RSS feeds and can create voice summaries.",当用户询问新闻更新、每日简报或天下大事时使用此技能。从受信任的国际RSS源获取新闻，并可生成语音摘要。,,false,0,0,16,55,1,,0.419,false
22,lark-base,skills.sh,open.feishu.cn,open.feishu.cn,,single,,,2,false,0,0,0,0,1,55,0.392,true
23,word-docx,clawhub,,,word-docx,upstream,"Create, inspect, and edit Microsoft Word documents and DOCX files with reliable styles, numbering, tracked changes, tables, sections, and compatibility check...",创建、检查和编辑 Microsoft Word 文档及 DOCX 文件，支持样式、编号、修订记录、表格、分节符及兼容性检查等功能。,2,false,0,0,1,3,0,1,0.336,false
